,0
0,"Jho Low a master manipulator, says Najib's ex-aide - The Star Online"
1,"From TIA to 1MDB, witness tells how Najib took control of state firm - Free Malaysia Today"
2,"Prosecution wraps up case, Najib to know on Nov 11 whether to enter defence - New Straits Times"
3,"Amhari, Azlin, Jho Low: Najib's 1MDB trio - EdgeProp.my"
4,High Court postpones Najib's biggest 1MDB trial - New Straits Times
5,Late principal private secretary had to firefight expose - The Star Online
6,"Najib's forfeiture suit: Maybank claims RM1.99m from Roger Ng, firm controlled by Jho Low's father - The Edge Markets MY"
7,"Cradle Fund CEO trial postponed, as defence lawyers preoccupied with 1MDB case - New Straits Times"
8,SRC trial: Prosecution retracts asking Najib to apologise over Facebook comments - Malay Mail
9,Najib's 1MDB trial to commence on Aug 28 - The Star Online
10,Najib and Shafee obtain leave to challenge legality of Sri Ram's appointment - The Edge Markets MY
11,1MDB trial: Four things that could happen on or before Aug 19 - The Edge Markets MY
12,PM amused by Najib's interpretation of 'cash is king' comment - New Straits Times
13,"Goldman Sachs legal reps at Najib's 1MDB trial, gearing for own cases - Malaysiakini"
14,"Yoursay: Alleged tax evasion - a case of like father, like daughter? - Malaysiakini"
15,malaysia-chonicle.com - Malaysia Chronicle
16,"AG says channelling funds a breach of law, Najib says he obeyed the law - New Straits Times"
17,"Najib: Seized items belonged to daughter, in-law was married to Kazakhstan’s richest man - Malay Mail"
18,Time To Audit Sarawak's Secret Debts - sarawakreport.org
19,Will Najib's 1MDB trial commence tomorrow? - Malaysiakini
20,Kit Siang accuses Najib of breaking own law introduced in 2012 - Malay Mail
21,Najib not above the law — AG - The Edge Markets MY
22,"Dog broke my wrist, Najib’s lawyer tells court, pushing hearing to Friday - Malay Mail"
23,"Najib: Why stepson Riza settled with US DoJ? Long trial, high legal cost - Malay Mail"
24,Najib's lawyer claims only RM42m out of RM103m went from SRC to client - Malay Mail
25,"Where's the 'rule of law' when it comes to PH-linked cases, asks Najib - Free Malaysia Today"
26,Murder trial of Cradle CEO to start this week; wife and teen sons charged in death - Yahoo Singapore News
27,"Lawyer: Shafee was just ‘chest-thumping’ in Najib case remarks, not scandalising courts - Malay Mail"
28,Najib's lawyer slapped with money laundering charges worth RM15 million [NSTTV] - New Straits Times
29,"Video of Najib's trial uploaded on FB, police report to be lodged - New Straits Times"
30,Jho Low's name finally comes up in Najib's trial - New Straits Times
31,'Najib's trial postponement not a delay tactic' - New Straits Times
32,Najib’s lawyer says income tax demand will bankrupt and disqualify him as MP - Malay Mail
33,'Mystery man' says Najib paid him RM2.5 million to gather political intel - New Straits Times
34,"No one is above the law, AG says at start of Najib trial - Free Malaysia Today"
35,"Report: Najib hired top Republican 'spin doctor', payment to law firm 'interrupted' - Malaysiakini"
36,"Najib’s lawyer grills BNM officer, asks why AmBank manager volunteered details in 2015 raid - Malay Mail"
37,Judge: MACC cannot stop Najib from getting info about his bank accounts - New Straits Times
38,"RM1.69 billion tax suit against Najib could be country's biggest, says lawyer - Free Malaysia Today"
39,Najib's trial should not be turned into a circus - New Straits Times
40,Here's everything you need to know to follow Najib's SRC trial - The Edge Markets MY
41,"Special court not formed expressly to expedite Najib's graft trial, says law minister - Malay Mail"
42,Najib: US DoJ has a right to act against Jho Low - New Straits Times
43,Court sets July 15 to hear bid to review money-laundering charges by Najib's lawyer - The Star Online
44,"Najib's fifth trial to start June 2020, but his lawyer says will file for strikeout - Malay Mail"
45,Najib slapped with RM1.5b tax bill - New Straits Times
46,Defence in Najib's SRC case want his charges dropped unless they are amended - The Edge Markets MY
47,"High Court dismisses Najib's application to strike out charges, trial to go on - The Star Online"
48,Minister urges action after video of Najib trial surfaces on social media - Nation - The Star Online
49,"Sorry, he went to the loo, says Shafee after judge notices Najib's short absence in court - Nation - The Star Online"
50,"Najib wins challenge against prosecutor appointment in RM42m case, loses three appeals - Malay Mail"
51,Najib's trial: Why it was postponed and how soon it can start - Malay Mail
52,Money (Stolen Money) Must Not Place Culprits Above The Law - Comment - sarawakreport.org
53,Najib claims MACC civil forfeiture lawsuit over 1MDB funds politically motivated - Malay Mail
54,Call for commission of inquiry into Sedition Act abuses under Najib - Free Malaysia Today
55,Najib’s lawyers fail to block house renovator from testifying in trial - Malay Mail
56,Cheat sheet: Catch up on 17 days of Najib’s RM42m SRC trial at a glance - Malay Mail
57,"Najib's SRC trial: Shafee's application for Gopal Sri Ram's appointment letter, recusal dismissed - The Star Online"
58,"Sorry, not sorry: Najib's defence seeks to dismiss FB apology notice - The Edge Markets MY"
59,Shafee: Bar Council should monitor Najib’s lawyer’s money-laundering case too - Malay Mail
60,Defence in Najib case postpones move to clarify contradictions in witness evidence - Free Malaysia Today
61,Najib's 1MDB case set for May 14 - The Star Online
62,"Najib must apologise for FB comments on trial, says AG - Free Malaysia Today"
63,Najib fails to dismiss Gopal Sri Ram as lead prosecutor - The Star Online
